Date,ConfigStamp,Device,Platform,Policy,Result,Remediation config
==============================
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,1 - AAA,FAIL,aaa authentication password-prompt LocalPass> aaa authentication login default group tacacs+ enable aaa authorization exec default group tacacs+ if-authenticated aaa authorization commands 0 default group tacacs+ if-authenticated aaa authorization commands 1 default group tacacs+ if-authenticated aaa authorization commands 15 default group tacacs+ if-authenticated aaa authorization config-commands aaa accounting exec default start-stop group tacacs+ aaa accounting commands 15 default start-stop group tacacs+ aaa accounting connection default start-stop group tacacs+ 
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,2 - TACACS,FAIL,tacacs-server host 153.6.140.227 tacacs-server host 172.27.75.27 tacacs-server host 157.23.55.14 tacacs-server directed-request tacacs-server key <user input> 
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,3 - CONSOLE,FAIL,line con 0  logging synchronous 
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,4 - AUX,PASS,
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,5 - VTY,PASS,
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,6 - NTP,FAIL,ntp server 192.168.20.3 ntp server 192.168.20.4 ntp server 192.168.20.5 ntp server 192.168.20.6 ntp update-calendar 
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,8 - DNS,FAIL,ip domain-name net.yoyodyne.com ip name-server 192.168.20.1 ip name-server 192.168.20.2 
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,9 - SNMP ACL,FAIL,access-list 79 permit 138.69.236.133 access-list 79 permit 10.95.242.78 access-list 79 permit 153.6.140.110 access-list 79 permit 153.6.140.122 access-list 79 permit 153.6.140.225 access-list 79 permit 138.69.236.137 access-list 79 permit 138.69.236.138 access-list 79 permit 138.69.236.15 access-list 79 permit 138.69.236.16 access-list 79 permit 138.69.236.11 access-list 79 permit 138.69.236.134 access-list 79 permit 153.6.140.112 access-list 79 permit 172.27.224.25 access-list 79 permit 172.27.75.25 access-list 79 permit 172.27.75.19 access-list 79 permit 172.27.75.15 access-list 79 permit 172.27.75.10 access-list 79 permit 172.27.75.23 access-list 79 permit 172.27.75.13 access-list 79 permit 172.27.75.29 access-list 79 permit 172.27.75.30 access-list 79 permit 172.27.75.21 access-list 79 permit 172.27.75.14 access-list 79 permit 172.27.75.18 access-list 79 permit 153.6.140.46 access-list 79 permit 153.6.140.108 access-list 79 permit 172.27.75.12 access-list 79 permit 153.8.9.2 access-list 79 permit 138.69.236.163 access-list 79 permit 138.69.236.129 access-list 79 permit 138.69.236.131 access-list 79 permit 153.6.140.100 access-list 79 permit 172.27.75.31 access-list 79 permit 138.69.236.34 access-list 79 permit 138.69.236.36 access-list 79 permit 172.27.75.34 access-list 79 permit 172.27.75.36 access-list 79 permit 153.7.43.71 access-list 79 permit 10.105.0.24 access-list 79 permit 10.243.222.13 access-list 79 permit 10.243.223.77 access-list 79 permit 10.105.0.30 access-list 79 permit 138.69.236.23 access-list 79 permit 10.197.36.40 access-list 79 permit 10.197.36.41 
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,10 - SNMP,FAIL,snmp-server community XxXxXxXxX RO 79 snmp-server community XxXxXxXxX RW 79 snmp-server host 192.168.1.1 XxXxXxXxX snmp-server host 192.168.1.2 XxXxXxXxX snmp-server ifindex persist snmp-server trap link ietf logging snmp-authfail 
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,11 - SNMP INFO,FAIL,snmp-server location <user input> 
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,12 - BANNER,FAIL,Computer System Terms of Use <user input> 
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,14 - VSTACK,PASS,no vstack 
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,15 - BASIC SVCS,FAIL,service timestamps log datetime msec localtime show-timezone service timestamps debug datetime msec localtime show-timezone service sequence-numbers 
09/19/19,10/22/15,dc1-acc-O01.prod.cfg,IOS,16 - BOOT,FAIL,boot system <user input> 
