The new '/home/kbowen/dev/sandbox/config-compliance/bin/../devices/mgmt_device_list.txt' list.
Date,ConfigStamp,Device,Platform,Policy,Result,Remediation config
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,01 - AAA,FAIL,aaa authentication login default group tacacs-servers aaa authentication login console group tacacs-servers aaa authorization config-commands default group tacacs-servers local aaa authorization commands default group tacacs-servers aaa accounting default group tacacs-servers 
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,02 - TACACS,FAIL,feature privilege tacacs-server key 7 <user input> 
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,03 - MGMT Interface,PASS,
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,04 - MGMT Routing,PASS,
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,05 - NTP,FAIL,ntp server 192.168.20.3 use-vrf management ntp server 192.168.20.4 use-vrf management ntp server 192.168.20.5 use-vrf management ntp server 192.168.20.6 use-vrf management 
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,06 - NTPConf,FAIL,ntp server 192.168.20.3 ntp server 192.168.20.4 ntp server 192.168.20.5 ntp server 192.168.20.6 ntp source Loopback0 ntp update-calendar 
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,07 - MGMT NTP,FAIL,ntp server 192.168.20.3 ntp server 192.168.20.4 ntp server 192.168.20.5 ntp server 192.168.20.6 ntp source Loopback0 ntp update-calendar 
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,08 - DNS,FAIL,ip domain-name net.yoyodyne.com 
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,09 - SNMP ACL,FAIL,snmp-server host 172.27.75.15 use-vrf management snmp-server host 172.27.75.22 use-vrf management snmp-server host 172.27.75.23 use-vrf management snmp-server host 138.69.236.138 use-vrf management snmp-server host 138.69.236.137 use-vrf management snmp-server host 172.27.75.21 use-vrf management snmp-server host 153.6.140.105 use-vrf management snmp-server host 153.6.140.140 use-vrf management snmp-server source-interface traps mgmt0 snmp-server host 172.27.75.15 traps version 2c <user input> 
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,10 - SNMP,FAIL,snmp-server host 10.209.128.100 traps version 2c <REDACTED> snmp-server host 10.209.128.100 use-vrf management snmp-server host 10.209.128.101 traps version 2c <REDACTED> snmp-server host 10.209.128.101 use-vrf management 
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,11 - SNMP Identity,PASS,
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,12 - Banner,PASS,
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,13 - SSH,PASS,
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,14 - SNMPv3,PASS,
09/24/19,10/22/15,dc1-svc-rt004.mgmt.cfg,NX-OS,15 - Basic Services,PASS,service timestamps log date time msec localtime show-timezone service timestamps debug datetime msec localtime show-timezone service password-encryption service tcp-keepalives-in service tcp-keepalives-out no service udp-small-servers no service tcp-small-servers no service finger no service pad service sequence-numbers 
